Time,Node,Direction,Value
2025-03-01 15:53:46.222174720+00:00,W064,left,3
2025-03-01 15:53:46.222174720+00:00,W064,right,2
2025-03-01 15:53:46.222174720+00:00,W064,straight,14
2025-03-01 15:43:14.931015424+00:00,W064,left,4
2025-03-01 15:43:14.931015424+00:00,W064,straight,2
2025-03-01 15:34:18.320082432+00:00,W064,left,3
2025-03-01 15:34:18.320082432+00:00,W064,right,4
2025-03-01 15:34:18.320082432+00:00,W064,straight,9
2025-03-01 15:24:48.120312320+00:00,W064,left,6
2025-03-01 15:24:48.120312320+00:00,W064,right,6
2025-03-01 15:24:48.120312320+00:00,W064,straight,8
2025-03-01 15:15:57.226613504+00:00,W064,right,1
2025-03-01 15:06:37.172659712+00:00,W064,left,6
2025-03-01 14:58:01.414449920+00:00,W064,left,4
2025-03-01 14:58:01.414449920+00:00,W064,straight,16
2025-03-01 14:48:04.021494272+00:00,W064,left,7
2025-03-01 14:48:04.021494272+00:00,W064,right,6
2025-03-01 14:48:04.021494272+00:00,W064,straight,11
2025-03-01 14:39:07.869133312+00:00,W064,right,3
2025-03-01 14:29:27.236318464+00:00,W064,left,4
2025-03-01 14:29:27.236318464+00:00,W064,right,1
2025-03-01 14:29:27.236318464+00:00,W064,straight,1
2025-03-01 14:11:55.025598208+00:00,W064,left,4
2025-03-01 14:11:55.025598208+00:00,W064,right,2
2025-03-01 14:11:55.025598208+00:00,W064,straight,4
2025-03-01 14:03:56.104605440+00:00,W064,left,2
2025-03-01 14:03:56.104605440+00:00,W064,straight,8
2025-03-01 13:54:21.100431104+00:00,W064,left,7
2025-03-01 13:54:21.100431104+00:00,W064,right,1
2025-03-01 13:54:21.100431104+00:00,W064,straight,1
2025-03-01 13:46:38.244441600+00:00,W064,straight,3
2025-03-01 13:37:51.297184512+00:00,W064,left,5
2025-03-01 13:37:51.297184512+00:00,W064,right,2
2025-03-01 13:37:51.297184512+00:00,W064,straight,4
2025-03-01 13:27:52.125368064+00:00,W064,left,1
2025-03-01 13:27:52.125368064+00:00,W064,right,5
2025-03-01 13:19:22.890776832+00:00,W064,left,1
2025-03-01 13:19:22.890776832+00:00,W064,right,1
2025-03-01 13:19:22.890776832+00:00,W064,straight,3
2025-03-01 13:11:20.614880768+00:00,W064,right,2
2025-03-01 13:11:20.614880768+00:00,W064,straight,2
2025-03-01 13:01:08.444400640+00:00,W064,left,3
2025-03-01 13:01:08.444400640+00:00,W064,right,4
2025-03-01 13:01:08.444400640+00:00,W064,straight,5
2025-03-01 12:51:28.951699200+00:00,W064,left,2
2025-03-01 12:51:28.951699200+00:00,W064,straight,4
2025-03-01 12:42:53.375684096+00:00,W064,right,2
2025-03-01 12:34:48.584686336+00:00,W064,straight,2
2025-03-01 12:25:24.209211904+00:00,W064,left,1
2025-03-01 12:25:24.209211904+00:00,W064,right,1
2025-03-01 12:25:24.209211904+00:00,W064,straight,4
2025-03-01 12:17:19.558587904+00:00,W064,straight,1
2025-03-01 12:08:25.342384128+00:00,W064,left,1
2025-03-01 12:08:25.342384128+00:00,W064,right,1
2025-03-01 12:08:25.342384128+00:00,W064,straight,1
2025-03-01 11:51:14.205206016+00:00,W064,left,3
2025-03-01 11:51:14.205206016+00:00,W064,right,1
2025-03-01 11:51:14.205206016+00:00,W064,straight,2
2025-03-01 11:42:56.994240512+00:00,W064,left,1
2025-03-01 11:33:24.186945280+00:00,W064,left,1
2025-03-01 11:33:24.186945280+00:00,W064,right,1
2025-03-01 11:33:24.186945280+00:00,W064,straight,1
2025-03-01 11:17:02.456740096+00:00,W064,left,1
2025-03-01 11:17:02.456740096+00:00,W064,right,1
2025-03-01 11:09:15.290297600+00:00,W064,right,1
2025-03-01 11:09:15.290297600+00:00,W064,straight,1
2025-03-01 10:44:58.897073920+00:00,W064,left,1
2025-03-01 10:44:58.897073920+00:00,W064,right,1
2025-03-01 10:44:58.897073920+00:00,W064,straight,1
2025-03-01 10:20:34.883186176+00:00,W064,straight,1
2025-03-01 10:12:04.847549696+00:00,W064,left,2
2025-03-01 10:12:04.847549696+00:00,W064,right,1
2025-03-01 10:12:04.847549696+00:00,W064,straight,1
2025-03-01 10:04:22.468506624+00:00,W064,straight,2
2025-03-01 09:40:36.252741632+00:00,W064,left,2
2025-03-01 09:40:36.252741632+00:00,W064,right,3
2025-03-01 09:40:36.252741632+00:00,W064,straight,2
2025-03-01 09:24:23.162291200+00:00,W064,right,1
2025-03-01 09:24:23.162291200+00:00,W064,straight,3
2025-03-01 09:16:10.093854464+00:00,W064,right,2
2025-03-01 09:16:10.093854464+00:00,W064,straight,1
2025-03-01 09:07:55.040354304+00:00,W064,left,1
2025-03-01 09:07:55.040354304+00:00,W064,right,1
2025-03-01 08:50:50.429607168+00:00,W064,left,3
2025-03-01 08:50:50.429607168+00:00,W064,right,2
2025-03-01 08:50:50.429607168+00:00,W064,straight,1
